Exercise Type,Duration (min),Calories Burned,Meal Type,Calories Intake,"Macros (Protein, Carbs, Fat)",Water Intake (L),Hours Slept,Sleep Quality,Diet Plan,Vegetarian Meal Suggestion,Non-Vegetarian Meal Suggestion
Yoga,50,443,Snack,768,"17g Protein, 63g Carbs, 11g Fat",2.7,6,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Grilled chicken with quinoa and broccoli
Swimming,18,706,Breakfast,467,"25g Protein, 34g Carbs, 13g Fat",2.4,4,Excellent,Standard balanced diet.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Strength Training,42,56,Snack,983,"23g Protein, 84g Carbs, 30g Fat",3.4,8,Fair,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Swimming,26,732,Snack,597,"48g Protein, 56g Carbs, 6g Fat",2.1,10,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Running,13,736,Dinner,954,"41g Protein, 52g Carbs, 9g Fat",2.9,5,Excellent,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Cycling,99,724,Snack,487,"34g Protein, 47g Carbs, 13g Fat",3.1,4,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Roasted turkey with wild rice and green beans
Strength Training,64,306,Breakfast,834,"12g Protein, 62g Carbs, 10g Fat",2.2,10,Excellent,Balanced meal with lean protein.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Swimming,79,432,Breakfast,328,"30g Protein, 69g Carbs, 24g Fat",2.8,9,Excellent,Standard balanced diet.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Swimming,46,615,Snack,336,"12g Protein, 65g Carbs, 9g Fat",3.3,6,Fair,Standard balanced diet.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Yoga,98,303,Dinner,954,"42g Protein, 99g Carbs, 12g Fat",0.9,4,Poor,High-protein meal with energizing carbs.,Avocado toast with seeds,Beef stir-fry with vegetables
Cycling,113,259,Snack,574,"47g Protein, 76g Carbs, 7g Fat",2.9,10,Excellent,Carb-heavy meal for recovery.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Running,64,707,Lunch,337,"41g Protein, 97g Carbs, 27g Fat",1.3,4,Good,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Yoga,59,397,Breakfast,566,"35g Protein, 33g Carbs, 30g Fat",3.1,4,Fair,Balanced meal with lean protein.,Greek yogurt with berries and granola,Shrimp and avocado salad
Yoga,30,637,Lunch,622,"30g Protein, 78g Carbs, 20g Fat",3.5,5,Excellent,Balanced meal with lean protein.,Greek yogurt with berries and granola,Beef stir-fry with vegetables
Swimming,70,790,Dinner,834,"43g Protein, 62g Carbs, 6g Fat",0.8,8,Good,Standard balanced diet.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Cycling,51,714,Snack,712,"46g Protein, 73g Carbs, 26g Fat",3.5,8,Fair,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Cycling,32,173,Breakfast,568,"50g Protein, 72g Carbs, 6g Fat",3,9,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Shrimp and avocado salad
Yoga,55,555,Dinner,517,"43g Protein, 62g Carbs, 6g Fat",0.8,5,Good,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Beef stir-fry with vegetables
Yoga,55,427,Breakfast,945,"13g Protein, 27g Carbs, 20g Fat",1.7,6,Fair,Balanced meal with lean protein.,Vegetable curry with quinoa,Roasted turkey with wild rice and green beans
Yoga,52,78,Snack,880,"37g Protein, 66g Carbs, 5g Fat",3.3,4,Fair,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Grilled chicken with quinoa and broccoli
Running,94,78,Breakfast,879,"46g Protein, 90g Carbs, 18g Fat",0.7,7,Fair,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Cycling,80,783,Breakfast,641,"15g Protein, 96g Carbs, 28g Fat",1.6,7,Excellent,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Baked salmon with sweet potato and spinach
Strength Training,75,607,Lunch,817,"23g Protein, 56g Carbs, 30g Fat",1.3,8,Fair,Balanced meal with lean protein.,Greek yogurt with berries and granola,Beef stir-fry with vegetables
Cycling,20,606,Dinner,895,"37g Protein, 81g Carbs, 19g Fat",2.4,8,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Running,52,96,Snack,358,"26g Protein, 84g Carbs, 21g Fat",1.5,7,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Running,114,487,Breakfast,757,"37g Protein, 36g Carbs, 6g Fat",1.1,8,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Beef stir-fry with vegetables
Swimming,73,710,Lunch,818,"43g Protein, 54g Carbs, 24g Fat",1.2,8,Fair,Standard balanced diet.,Vegetable omelet with spinach,Tuna sandwich with whole-grain bread
Running,25,505,Dinner,457,"36g Protein, 59g Carbs, 26g Fat",2.9,7,Fair,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Cycling,81,448,Breakfast,403,"20g Protein, 49g Carbs, 29g Fat",1.2,8,Excellent,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Running,55,377,Dinner,965,"25g Protein, 88g Carbs, 23g Fat",0.9,9,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Swimming,84,104,Breakfast,619,"24g Protein, 20g Carbs, 24g Fat",3.5,9,Fair,Standard balanced diet.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Swimming,15,539,Lunch,442,"49g Protein, 86g Carbs, 28g Fat",0.7,5,Excellent,Standard balanced diet.,Vegetable omelet with spinach,Roasted turkey with wild rice and green beans
Yoga,115,619,Lunch,395,"31g Protein, 41g Carbs, 26g Fat",1,4,Good,Balanced meal with lean protein.,Greek yogurt with berries and granola,Shrimp and avocado salad
Swimming,40,175,Snack,781,"43g Protein, 98g Carbs, 13g Fat",1,8,Excellent,Standard balanced diet.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Cycling,39,548,Dinner,345,"43g Protein, 52g Carbs, 22g Fat",2.7,9,Excellent,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Yoga,112,408,Lunch,257,"15g Protein, 25g Carbs, 21g Fat",1.7,4,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Tuna sandwich with whole-grain bread
Cycling,69,112,Dinner,396,"47g Protein, 45g Carbs, 9g Fat",1.8,10,Excellent,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Shrimp and avocado salad
Cycling,94,512,Lunch,418,"15g Protein, 48g Carbs, 26g Fat",1.9,6,Good,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Strength Training,32,316,Breakfast,266,"45g Protein, 78g Carbs, 14g Fat",2.8,4,Excellent,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Strength Training,118,172,Dinner,244,"12g Protein, 88g Carbs, 10g Fat",2.8,5,Good,Balanced meal with lean protein.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Swimming,25,535,Snack,955,"46g Protein, 78g Carbs, 26g Fat",1.3,8,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Yoga,67,443,Dinner,462,"33g Protein, 68g Carbs, 14g Fat",3.4,9,Good,Balanced meal with lean protein.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Swimming,98,176,Lunch,807,"25g Protein, 69g Carbs, 15g Fat",1.7,7,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Yoga,85,516,Dinner,961,"27g Protein, 69g Carbs, 10g Fat",3.3,5,Good,Balanced meal with lean protein.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Swimming,14,691,Lunch,437,"45g Protein, 99g Carbs, 10g Fat",2.1,6,Excellent,Standard balanced diet.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Running,89,579,Breakfast,722,"29g Protein, 46g Carbs, 27g Fat",1.1,10,Excellent,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Cycling,56,126,Dinner,805,"16g Protein, 81g Carbs, 18g Fat",2.9,4,Good,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Running,110,303,Breakfast,454,"42g Protein, 54g Carbs, 25g Fat",0.8,7,Good,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Swimming,62,582,Lunch,212,"50g Protein, 68g Carbs, 13g Fat",3.3,9,Fair,Standard balanced diet.,Tofu stir-fry with brown rice,Scrambled eggs with turkey sausage
Cycling,23,485,Snack,708,"32g Protein, 45g Carbs, 23g Fat",3.1,9,Fair,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Running,55,153,Snack,648,"15g Protein, 92g Carbs, 6g Fat",1.4,10,Fair,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Yoga,35,673,Lunch,720,"41g Protein, 50g Carbs, 9g Fat",1.6,10,Good,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Strength Training,61,760,Lunch,340,"20g Protein, 23g Carbs, 11g Fat",2.9,6,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Strength Training,31,428,Dinner,313,"21g Protein, 82g Carbs, 19g Fat",0.8,5,Fair,Balanced meal with lean protein.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Cycling,112,454,Lunch,514,"44g Protein, 31g Carbs, 21g Fat",2.7,9,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Running,72,568,Dinner,240,"32g Protein, 95g Carbs, 16g Fat",3.5,9,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Running,77,271,Snack,208,"40g Protein, 80g Carbs, 14g Fat",1.5,4,Good,Carb-heavy meal for recovery.,Avocado toast with seeds,Beef stir-fry with vegetables
Running,110,398,Breakfast,847,"39g Protein, 33g Carbs, 27g Fat",3.2,9,Fair,Carb-heavy meal for recovery.,Avocado toast with seeds,Tuna sandwich with whole-grain bread
Strength Training,15,291,Dinner,878,"19g Protein, 81g Carbs, 18g Fat",3.1,7,Fair,Balanced meal with lean protein.,Avocado toast with seeds,Tuna sandwich with whole-grain bread
Yoga,69,291,Snack,507,"13g Protein, 89g Carbs, 8g Fat",3,5,Fair,Balanced meal with lean protein.,Avocado toast with seeds,Tuna sandwich with whole-grain bread
Strength Training,81,743,Dinner,785,"38g Protein, 23g Carbs, 15g Fat",1.2,8,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Tuna sandwich with whole-grain bread
Running,92,536,Breakfast,576,"21g Protein, 93g Carbs, 11g Fat",2.6,8,Fair,Carb-heavy meal for recovery.,Avocado toast with seeds,Shrimp and avocado salad
Running,58,625,Lunch,730,"18g Protein, 40g Carbs, 21g Fat",0.8,10,Fair,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Scrambled eggs with turkey sausage
Yoga,19,316,Dinner,477,"21g Protein, 68g Carbs, 7g Fat",1.9,10,Excellent,Balanced meal with lean protein.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Yoga,78,199,Lunch,312,"46g Protein, 52g Carbs, 23g Fat",1.4,9,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Running,48,355,Dinner,972,"22g Protein, 27g Carbs, 17g Fat",1.5,9,Excellent,Carb-heavy meal for recovery.,Avocado toast with seeds,Shrimp and avocado salad
Running,54,130,Dinner,581,"48g Protein, 78g Carbs, 15g Fat",2.9,9,Excellent,Carb-heavy meal for recovery.,Avocado toast with seeds,Shrimp and avocado salad
Strength Training,38,290,Breakfast,517,"10g Protein, 20g Carbs, 5g Fat",1,4,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Running,89,523,Dinner,395,"27g Protein, 25g Carbs, 21g Fat",1.4,9,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Shrimp and avocado salad
Running,114,455,Dinner,877,"48g Protein, 23g Carbs, 21g Fat",1.2,7,Good,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Yoga,98,68,Breakfast,691,"28g Protein, 81g Carbs, 5g Fat",1.5,6,Excellent,Balanced meal with lean protein.,Vegetable curry with quinoa,Tuna sandwich with whole-grain bread
Strength Training,25,124,Dinner,295,"35g Protein, 20g Carbs, 26g Fat",3.5,8,Good,Balanced meal with lean protein.,Vegetable omelet with spinach,Shrimp and avocado salad
Cycling,112,414,Snack,651,"44g Protein, 22g Carbs, 11g Fat",1.6,6,Excellent,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Beef stir-fry with vegetables
Strength Training,14,799,Lunch,658,"12g Protein, 76g Carbs, 18g Fat",1.4,7,Excellent,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Running,16,404,Snack,567,"16g Protein, 23g Carbs, 19g Fat",3.3,6,Good,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Scrambled eggs with turkey sausage
Cycling,49,244,Dinner,596,"24g Protein, 40g Carbs, 15g Fat",2.7,10,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Cycling,56,728,Dinner,937,"10g Protein, 57g Carbs, 7g Fat",0.9,6,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Strength Training,106,774,Lunch,846,"26g Protein, 37g Carbs, 25g Fat",1.3,7,Excellent,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Roasted turkey with wild rice and green beans
Yoga,15,380,Snack,355,"19g Protein, 84g Carbs, 17g Fat",0.6,10,Excellent,Balanced meal with lean protein.,Vegetable curry with quinoa,Roasted turkey with wild rice and green beans
Strength Training,35,764,Snack,763,"29g Protein, 42g Carbs, 8g Fat",3.1,7,Good,Balanced meal with lean protein.,Greek yogurt with berries and granola,Baked salmon with sweet potato and spinach
Strength Training,16,705,Breakfast,977,"22g Protein, 61g Carbs, 19g Fat",0.7,6,Excellent,Balanced meal with lean protein.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Running,113,494,Dinner,961,"25g Protein, 66g Carbs, 7g Fat",0.8,6,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Running,87,199,Snack,708,"28g Protein, 99g Carbs, 21g Fat",2.7,10,Fair,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Yoga,13,731,Snack,611,"30g Protein, 91g Carbs, 7g Fat",2.7,10,Excellent,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Strength Training,27,308,Dinner,411,"16g Protein, 30g Carbs, 27g Fat",3,4,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Cycling,44,311,Lunch,961,"31g Protein, 45g Carbs, 14g Fat",1.4,4,Good,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Beef stir-fry with vegetables
Yoga,69,321,Lunch,894,"14g Protein, 28g Carbs, 27g Fat",1.2,8,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Strength Training,21,627,Snack,577,"11g Protein, 23g Carbs, 12g Fat",1.1,7,Fair,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Beef stir-fry with vegetables
Running,87,547,Lunch,876,"36g Protein, 42g Carbs, 26g Fat",1.2,7,Excellent,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Scrambled eggs with turkey sausage
Swimming,62,563,Lunch,682,"47g Protein, 85g Carbs, 6g Fat",1,10,Good,Standard balanced diet.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Cycling,62,483,Snack,328,"33g Protein, 62g Carbs, 27g Fat",3.2,5,Fair,Carb-heavy meal for recovery.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Yoga,91,204,Snack,607,"34g Protein, 26g Carbs, 16g Fat",1.7,9,Good,Balanced meal with lean protein.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Cycling,21,322,Lunch,500,"21g Protein, 44g Carbs, 17g Fat",2.5,8,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Cycling,58,796,Snack,650,"37g Protein, 40g Carbs, 7g Fat",1.1,6,Good,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Strength Training,31,394,Breakfast,404,"49g Protein, 40g Carbs, 17g Fat",2.1,9,Excellent,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Strength Training,13,92,Lunch,261,"40g Protein, 99g Carbs, 23g Fat",0.7,4,Fair,Balanced meal with lean protein.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Yoga,68,130,Dinner,566,"30g Protein, 94g Carbs, 24g Fat",2,5,Excellent,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Roasted turkey with wild rice and green beans
Running,105,361,Lunch,704,"16g Protein, 85g Carbs, 6g Fat",1.3,6,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Yoga,93,716,Breakfast,256,"10g Protein, 87g Carbs, 5g Fat",2.6,6,Fair,Balanced meal with lean protein.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Running,46,616,Breakfast,955,"16g Protein, 50g Carbs, 26g Fat",3.1,4,Good,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Cycling,70,564,Snack,487,"45g Protein, 22g Carbs, 25g Fat",1.2,5,Fair,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Roasted turkey with wild rice and green beans
Yoga,19,790,Lunch,344,"37g Protein, 83g Carbs, 16g Fat",2.6,7,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Beef stir-fry with vegetables
Running,35,585,Snack,716,"19g Protein, 57g Carbs, 12g Fat",1.2,4,Fair,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Running,118,680,Breakfast,515,"35g Protein, 53g Carbs, 15g Fat",2.6,9,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Shrimp and avocado salad
